stage,candidate,score,mean_cpg,min_cpg,win_fraction,params_json,ValueRegular,NittyValue,BalancedPressure,ShowdownRegular
search,1,-91.875,-32.5,-118.75,0.469,"{""action_likelihood_floor"": 0.025, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.04, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.04, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.26, ""max_combos"": 40, ""max_fold_to_raise"": 0.95, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.18, ""river_pot_units"": 34.0, ""river_to_call_units"": 5.0, ""samples"": 48, ""turn_blend_base"": 0.12, ""turn_pot_units"": 50.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.05}",137.5,-118.75,-53.75,-95.0
search,2,-389.062,-70.312,-637.5,0.531,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 18, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.0, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.22, ""max_combos"": 24, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.08, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.18, ""river_pot_units"": 34.0, ""river_to_call_units"": 4.0, ""samples"": 48, ""turn_blend_base"": 0.08, ""turn_pot_units"": 50.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.0}",-340.0,183.75,-637.5,512.5
search,3,-352.188,-126.562,-451.25,0.406,"{""action_likelihood_floor"": 0.04, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.05, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 48.0, ""max_blend"": 0.3, ""max_combos"": 56, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.13, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.08, ""river_pot_units"": 34.0, ""river_to_call_units"": 3.0, ""samples"": 72, ""turn_blend_base"": 0.08, ""turn_pot_units"": 50.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.05}",-451.25,81.25,-103.75,-32.5
search,4,384.688,360.312,48.75,0.75,"{""action_likelihood_floor"": 0.025, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 36, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.08, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.22, ""max_combos"": 32, ""max_fold_to_raise"": 0.95, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 34.0, ""river_to_call_units"": 7.0, ""samples"": 36, ""turn_blend_base"": 0.04, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.03}",386.25,540.0,48.75,466.25
search,5,45.0,106.875,-123.75,0.484,"{""action_likelihood_floor"": 0.06, ""credibility_multiplier_base"": 0.6, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 12, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.3, ""max_combos"": 32, ""max_fold_to_raise"": 0.7, ""policy_margin_uncertain"": 0.06, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.18, ""river_pot_units"": 28.0, ""river_to_call_units"": 5.0, ""samples"": 24, ""turn_blend_base"": 0.12, ""turn_pot_units"": 38.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.08}",-123.75,-25.0,181.25,395.0
search,6,44.688,164.062,-238.75,0.625,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.7, ""credibility_samples"": 18, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.16, ""max_combos"": 24, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.08, ""river_pot_units"": 52.0, ""river_to_call_units"": 7.0, ""samples"": 24, ""turn_blend_base"": 0.08, ""turn_pot_units"": 38.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.03}",-238.75,295.0,470.0,130.0
search,7,-303.438,-148.438,-310.0,0.469,"{""action_likelihood_floor"": 0.04, ""credibility_multiplier_base"": 0.6, ""credibility_multiplier_scale"": 0.35, ""credibility_samples"": 36, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 4.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 48.0, ""max_blend"": 0.1, ""max_combos"": 24, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.06, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.24, ""river_pot_units"": 34.0, ""river_to_call_units"": 3.0, ""samples"": 48, ""turn_blend_base"": 0.12, ""turn_pot_units"": 38.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.05}",142.5,-250.0,-176.25,-310.0
search,8,40.938,117.812,-153.75,0.594,"{""action_likelihood_floor"": 0.04, ""credibility_multiplier_base"": 0.6, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 36, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.08, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.4, ""max_combos"": 24, ""max_fold_to_raise"": 0.7, ""policy_margin_uncertain"": 0.16, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 22.0, ""river_to_call_units"": 3.0, ""samples"": 24, ""turn_blend_base"": 0.08, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.05}",665.0,105.0,-145.0,-153.75
search,9,184.688,166.562,36.25,0.562,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 12, ""large_call_blend_bonus"": 0.05, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.0, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.4, ""max_combos"": 72, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.16, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.18, ""river_pot_units"": 42.0, ""river_to_call_units"": 3.0, ""samples"": 36, ""turn_blend_base"": 0.08, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.05}",36.25,260.0,121.25,248.75
search,10,62.188,65.312,-6.25,0.469,"{""action_likelihood_floor"": 0.025, ""credibility_multiplier_base"": 0.6, ""credibility_multiplier_scale"": 0.7, ""credibility_samples"": 12, ""large_call_blend_bonus"": 0.03, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.0, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.3, ""max_combos"": 72, ""max_fold_to_raise"": 0.95, ""policy_margin_uncertain"": 0.08, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.24, ""river_pot_units"": 22.0, ""river_to_call_units"": 3.0, ""samples"": 72, ""turn_blend_base"": 0.08, ""turn_pot_units"": 38.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.0}",-6.25,65.0,42.5,160.0
search,11,148.125,195.625,-95.0,0.594,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 4.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.16, ""max_combos"": 32, ""max_fold_to_raise"": 0.95, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.24, ""river_pot_units"": 42.0, ""river_to_call_units"": 3.0, ""samples"": 24, ""turn_blend_base"": 0.04, ""turn_pot_units"": 38.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.08}",158.75,-95.0,237.5,481.25
search,12,120.938,90.938,60.0,0.531,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 12, ""large_call_blend_bonus"": 0.03, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.0, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.3, ""max_combos"": 40, ""max_fold_to_raise"": 0.9, ""policy_margin_uncertain"": 0.13, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 22.0, ""river_to_call_units"": 3.0, ""samples"": 48, ""turn_blend_base"": 0.08, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.08}",123.75,106.25,73.75,60.0
search,13,-12.812,68.438,-162.5,0.531,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.6, ""credibility_multiplier_scale"": 0.7, ""credibility_samples"": 36, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.3, ""max_combos"": 72, ""max_fold_to_raise"": 0.7, ""policy_margin_uncertain"": 0.06, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 42.0, ""river_to_call_units"": 4.0, ""samples"": 48, ""turn_blend_base"": 0.04, ""turn_pot_units"": 50.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.08}",258.75,185.0,-7.5,-162.5
search,14,12.5,101.25,-177.5,0.625,"{""action_likelihood_floor"": 0.025, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.35, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 48.0, ""max_blend"": 0.4, ""max_combos"": 32, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 28.0, ""river_to_call_units"": 4.0, ""samples"": 48, ""turn_blend_base"": 0.16, ""turn_pot_units"": 50.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.0}",-177.5,477.5,-60.0,165.0
search,15,-120.938,2.188,-246.25,0.5,"{""action_likelihood_floor"": 0.06, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.35, ""credibility_samples"": 36, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 4.0, ""large_pot_blend_bonus"": 0.03, ""large_pot_blend_units"": 48.0, ""max_blend"": 0.22, ""max_combos"": 24, ""max_fold_to_raise"": 0.9, ""policy_margin_uncertain"": 0.08, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.18, ""river_pot_units"": 22.0, ""river_to_call_units"": 4.0, ""samples"": 24, ""turn_blend_base"": 0.16, ""turn_pot_units"": 50.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.03}",-246.25,347.5,-242.5,150.0
search,16,172.812,281.562,-217.5,0.645,"{""action_likelihood_floor"": 0.04, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.03, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.4, ""max_combos"": 56, ""max_fold_to_raise"": 0.9, ""policy_margin_uncertain"": 0.06, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 28.0, ""river_to_call_units"": 5.0, ""samples"": 36, ""turn_blend_base"": 0.08, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 6.0, ""uncertain_blend_bonus"": 0.08}",292.5,606.25,445.0,-217.5
final,1,-107.5,20.781,-256.562,0.52,"{""action_likelihood_floor"": 0.025, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 36, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 8.0, ""large_pot_blend_bonus"": 0.08, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.22, ""max_combos"": 32, ""max_fold_to_raise"": 0.95, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 34.0, ""river_to_call_units"": 7.0, ""samples"": 36, ""turn_blend_base"": 0.04, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 8.0, ""uncertain_blend_bonus"": 0.03}",-256.562,150.0,-4.375,194.062
final,2,65.859,135.234,-138.75,0.57,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.5, ""credibility_samples"": 12, ""large_call_blend_bonus"": 0.05, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.0, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.4, ""max_combos"": 72, ""max_fold_to_raise"": 0.8, ""policy_margin_uncertain"": 0.16, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.18, ""river_pot_units"": 42.0, ""river_to_call_units"": 3.0, ""samples"": 36, ""turn_blend_base"": 0.08, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.05}",-138.75,202.188,141.562,335.938
final,3,358.125,269.375,177.5,0.664,"{""action_likelihood_floor"": 0.04, ""credibility_multiplier_base"": 0.75, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.0, ""large_call_blend_units"": 6.0, ""large_pot_blend_bonus"": 0.03, ""large_pot_blend_units"": 28.0, ""max_blend"": 0.4, ""max_combos"": 56, ""max_fold_to_raise"": 0.9, ""policy_margin_uncertain"": 0.06, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.12, ""river_pot_units"": 28.0, ""river_to_call_units"": 5.0, ""samples"": 36, ""turn_blend_base"": 0.08, ""turn_pot_units"": 64.0, ""turn_to_call_units"": 6.0, ""uncertain_blend_bonus"": 0.08}",177.5,249.688,316.25,334.062
final,4,210.938,192.031,37.812,0.609,"{""action_likelihood_floor"": 0.015, ""credibility_multiplier_base"": 0.9, ""credibility_multiplier_scale"": 0.2, ""credibility_samples"": 24, ""large_call_blend_bonus"": 0.08, ""large_call_blend_units"": 4.0, ""large_pot_blend_bonus"": 0.05, ""large_pot_blend_units"": 36.0, ""max_blend"": 0.16, ""max_combos"": 32, ""max_fold_to_raise"": 0.95, ""policy_margin_uncertain"": 0.1, ""range_cache_limit"": 128, ""range_log_floor"": -30.0, ""river_blend_base"": 0.24, ""river_pot_units"": 42.0, ""river_to_call_units"": 3.0, ""samples"": 24, ""turn_blend_base"": 0.04, ""turn_pot_units"": 38.0, ""turn_to_call_units"": 11.0, ""uncertain_blend_bonus"": 0.08}",119.375,435.625,37.812,175.312
